Название книги;Автор;Издательство;Цена со скидкой;Цена без скидки;Размер скидки, %;Наличие на складе
Основы создания 3D-моделей и чертежей с использованием системы AutoCAD 2018;Серегин Вячеслав Иванович и др.;Издательство МГТУ им. Н.Э.Баумана;488;814;40;На складе
Инженерная графика. Учебное пособие;Дмитриева Ильзина Михайловна;Издательство МГТУ им. Н.Э.Баумана;651;1085;40;Ограничено
Модели и методы дискретной оптимизации. Модули 1 и 2. Учебник;Овчинников Владимир Анатольевич;Издательство МГТУ им. Н.Э.Баумана;814;1356;40;На складе
Технологии TCP/IP в современных компьютерных сетях. Учебное пособие;Смирнова Елена Викторовна и др.;Издательство МГТУ им. Н.Э.Баумана;1627;2711;40;На складе
Инженерная графика. Учебное пособие;Сенченкова Людмила Сергеевна и др.;Издательство МГТУ им. Н.Э.Баумана;1301;2169;40;На складе
Практикум по компьютерному моделированию геометрии изделий с использованием SolidWorks;Щеглов Георгий Александрович, Минеев Алексей Борисович;Издательство МГТУ им. Н.Э.Баумана;651;1085;40;На складе
Проектирование в AutoCAD. 2D-моделирование. Учебное пособие;Васильева Карина Вениаминовна;Издательство МГТУ им. Н.Э.Баумана;521;868;40;На складе
Основы Python для Data Science;Берман Кеннеди;Питер: Библиотека программиста;2114;2710;22;На складе
Фундаментальные основы хакерства. Анализ программ в среде Win64;Касперски Крис, Язев Юрий Евгеньевич;Солон-пресс: Программирование;3184;5307;40;На складе
Основы компьютерного моделирования и визуализации + Электронное приложение;Борзяк Андрей Александрович и др.;Лань: Компьютеры и программное обеспечение;6183;0;0;На складе
Операционные системы. Bodhi Linux 6.0. Установка, настройка, эксплуатация. Учебное пособие;Орещенков Игорь Сергеевич;Лань: Компьютеры и программное обеспечение;4122;0;0;На складе
Операционные системы. Bodhi Linux 6.0. Установка, настройка, эксплуатация. Учебное пособие;Орещенков Игорь Сергеевич;Лань: Компьютеры и программное обеспечение;4741;0;0;На складе
Теория принятия решений. Учебное пособие;Баллод Борис Анатольевич, Елизарова Надежда Николаевна;Лань: Компьютеры и программное обеспечение;826;0;0;Ограничено
Установка и конфигурирование периферийного оборудования. Учебное пособие;Чащина Елена Анатольевна;Лань: Компьютеры и программное обеспечение;2681;0;0;На складе
UX/UI дизайн для создания идеального продукта. Полный и исчерпывающий гид;Шуваев Ярослав Александрович;Бомбора: Библиотека цифровой трансформации;1219;1670;27;На складе
Криптография. Как защитить свои данные в цифровом пространстве;Мартин Кит;Бомбора: БукТех. Книги про технологии;844;1156;27;На складе
Грокаем алгоритмы искусственного интеллекта;Харбанс Ришал;Питер: Библиотека программиста;1731;2219;22;На складе
Сделай видеоигру один и не свихнись;Грис Слава;АСТ: Видеоигры: глубокое погружение;669;916;27;На складе
Программирование в Unreal Engine 5 для начинающего игродела. Основы визуального языка Blueprint;Максименкова Ольга Вениаминовна, Веселко Никита И.;Бомбора: Российский компьютерный бестселлер;1862;2551;27;На складе
Искусственные нейронные сети. Учебник;Цехановский Владислав Владимирович и др.;Кнорус: Бакалавриат и магистратура;1830;3050;40;На складе
Информационные технологии;Волков Михаил Анатольевич;Инфра-Инженерия;896;1493;40;На складе
Блочно-матричный метод математического моделирования поверхностей;Нартя Владимир Ильич;Инфра-Инженерия;1310;2184;40;На складе
C# 10 и .NET 6. Современная кросс-платформенная разработка;Прайс Марк Дж.;Питер: Для профессионалов;4808;6164;22;На складе
Базы данных. Проектирование и разработка информационных систем с использованием СУБД MySQL и языка;Мартишин Сергей Анатольевич и др.;ИНФРА-М: Высшее образование. Бакалавриат;2452;4086;40;На складе
Криптография с секретным ключом. Шифры;Рубин Фрэнк;ДМК-Пресс;2680;4466;40;На складе
Цифровая живопись в 3D программах;Ходырев Виктор Валерьевич;Солон-пресс: Детская развивающая литература;922;1537;40;На складе
Soft skills для IT-специалистов. Прокачай карьеру и получи работу мечты;Джонс Дон;Бомбора: Мировой компьютерный бестселлер;1316;1803;27;На складе
Дизайн и цвет. Практикум. Реальное руководство по использованию цвета в графическом дизайне;Адамс Шон, Стоун Терри Ли;КоЛибри: Арт-тренд;1686;2309;27;На складе
Computer Science для программиста-самоучки. Все что нужно знать о структурах данных и алгоритмах;Альтхофф Кори;Питер: Библиотека программиста;1412;1810;22;На складе
Непрерывное развитие API. Правильные решения в изменчивом технологическом ландшафте;Меджуи Мехди и др.;Питер: Бестселлеры O`Reilly;3795;4865;22;На складе
Head First. Изучаем Swift;Мэннинг Джон, Баттфилд-Эддисон Пэрис;Питер: Head First (O'Reilly);2807;3599;22;На складе
Информатика. Учебное пособие;Гусева Елена Николаевна и др.;Флинта;403;672;40;На складе
Kubernetes изнутри;Вьяс Джей, Лав Крис;ДМК-Пресс;2512;4187;40;На складе
С++ 20 в деталях;Райнер Гримм;ДМК-Пресс;3016;5026;40;На складе
Математические алгоритмы для программистов. 3D-графика, машинное обучение и моделирование на Python;Орланд Пол;Питер: Библиотека программиста;3475;4455;22;На складе
Создание персонажей в Procreate. Полное руководство для начинающих диджитал-художников;Стаппаэртс Антонио и др.;Бомбора: Учимся рисовать на компьютере и планшете;1680;2302;27;На складе
Векторная графика для начинающих. Теория и практика технического дизайна;Поляков Егор Юрьевич;Бомбора: Российский компьютерный бестселлер;2045;2801;27;На складе
Pandas в действии;Пасхавер Борис;Питер: Библиотека программиста;2738;3510;22;На складе
Операционные системы. Практикум. Учебное пособие для СПО;Иванько Александр Федорович и др.;Лань: Компьютеры и программное обеспечение;2267;0;0;На складе
JavaScript и PHP. Content management system + Электронное приложение. Учебное пособие;Янцев Валерий Викторович;Лань: Компьютеры и программное обеспечение;3093;0;0;На складе
